ID,Title,Author,Price ($),Stock
89,Dyadya Vanya,Anton Chekhov,3.44,34
90,Tri sestry,Anton Chekhov,3.56,89
91,Dama s sobachkoy,Anton Chekhov,3.22,87
92,Pride and Prejudice,Jane Austen,5.00,82
93,Razum i chuvstva,Jane Austen,4.89,9
94,Frankenshteyn,Meri Shelli,4.67,77
95,"Frankenshteyn, ili Sovremennyy Prometey",Meri Shelli,4.78,81
96,Ayvengo,Valter Skott,5.44,21
97,Krasnoe i chernoe,Stendal,6.22,68
98,Parmskaya obitel,Stendal,6.44,93
99,Otets Gorio,Onore de Balzak,5.33,31
100,Evgeniya Grande,Onore de Balzak,5.00,20
101,The Count of Monte Cristo,Alexandre Dumas,9.89,59
102,Tri mushketera,Alexandre Dumas,7.22,48
103,Dvadtsat let spustya,Alexandre Dumas,7.44,34
104,Sobor Parizhskoy Bogomateri,Victor Hugo,6.44,81
105,Les Miserables,Victor Hugo,10.56,88
106,"Chelovek, kotoryy smeetsya",Victor Hugo,6.56,71
107,Dzheyn Eyr,Sharlotta Bronte,5.33,28
108,Grozovoy pereval,Emili Bronte,5.22,87
109,Yarmarka tshcheslaviya,Uilyam Tekkerey,7.67,41
110,Oliver Twist,Charles Dickens,5.44,98
111,David Kopperfild,Charles Dickens,7.56,99
112,Povest o dvukh gorodakh,Charles Dickens,5.67,7
113,Bolshie nadezhdy,Charles Dickens,5.78,29
114,Rozhdestvenskaya pesnya,Charles Dickens,3.56,4
115,Moby-Dick,Herman Melville,6.78,40
116,Madam Bovari,Gyustav Flober,5.44,51
117,Prestuplenie abbata Mure,Emil Zolya,5.11,34
118,Zherminal,Emil Zolya,5.89,8
119,Zapadnya,Emil Zolya,5.67,27
120,The Picture of Dorian Gray,Oscar Wilde,4.67,72
121,Kak vazhno byt sereznym,Oscar Wilde,3.44,91
122,The Adventures of Tom Sawyer,Mark Twain,4.33,40
123,Priklyucheniya Geklberri Finna,Mark Twain,4.56,27
124,Yanki iz Konnektikuta pri dvore korolya Artura,Mark Twain,4.78,83
125,Drakula,Brem Stoker,5.33,63
126,Mashina vremeni,Gerbert Uells,4.00,50
127,Chelovek-nevidimka,Gerbert Uells,4.11,82
128,Voyna mirov,Gerbert Uells,4.33,58
129,Etyud v bagrovykh tonakh,Arthur Conan Doyle,3.89,18
130,Sobaka Baskerviley,Arthur Conan Doyle,4.22,33
131,The Adventures of Sherlock Holmes,Arthur Conan Doyle,5.44,17
132,Martin Iden,Dzhek London,5.33,31
133,Zov predkov,Dzhek London,3.78,95
134,Belyy Klyk,Dzhek London,4.00,71
135,Uliss,Dzheyms Dzhoys,9.44,68
136,Dublintsy,Dzheyms Dzhoys,4.56,33
137,Portret khudozhnika v yunosti,Dzheyms Dzhoys,5.11,95
138,Protsess,Franz Kafka,4.78,74
139,Zamok,Franz Kafka,5.00,54
140,The Metamorphosis,Franz Kafka,3.56,74
141,V poiskakh utrachennogo vremeni,Marsel Prust,15.56,51
142,Volshebnaya gora,Tomas Mann,8.67,46
143,Buddenbroki,Tomas Mann,8.00,28
144,Smert v Venetsii,Tomas Mann,3.67,17
145,Stepnoy volk,German Gesse,4.89,65
146,Igra v biser,German Gesse,6.56,63
147,Siddkhartkha,German Gesse,3.89,11
148,The Great Gatsby,Frensis Skott Fitsdzherald,4.56,96
149,Noch nezhna,Frensis Skott Fitsdzherald,5.11,6
150,"Proshchay, oruzhie!",Ernest Hemingway,4.89,14
151,Po komu zvonit kolokol,Ernest Hemingway,6.00,19
152,Starik i more,Ernest Hemingway,3.89,80
153,A Moveable Feast,Ernest Hemingway,4.56,20
154,The Sound and the Fury,William Faulkner,5.44,87
155,As I Lay Dying,William Faulkner,4.78,54
156,On the Road,John Steinbeck,4.67,76
157,The Grapes of Wrath,John Steinbeck,6.44,8
158,Of Mice and Men,John Steinbeck,3.67,49
159,All Quiet on the Western Front,Erich Maria Remarque,5.00,48
160,Three Comrades,Erich Maria Remarque,5.44,76
161,Arch of Triumph,Erich Maria Remarque,5.78,59
162,The Black Obelisk,Erich Maria Remarque,5.67,67
163,Heaven Has No Favorites,Erich Maria Remarque,5.11,32
164,The Master and Margarita,Mikhail Bulgakov,6.11,70
165,Heart of a Dog,Mikhail Bulgakov,3.89,1
166,The White Guard,Mikhail Bulgakov,4.78,87
167,The Fatal Eggs,Mikhail Bulgakov,3.44,92
168,And Quiet Flows the Don,Mikhail Sholokhov,10.89,14
169,Fate of a Man,Mikhail Sholokhov,3.33,87
170,Doctor Zhivago,Boris Pasternak,6.89,68
171,We,Yevgeny Zamyatin,4.33,96
172,The Twelve Chairs,"Ilya Ilf, Yevgeny Petrov",5.33,34
173,Zolotoy telenok,"Ilya Ilf, Yevgeny Petrov",5.44,98
174,Kotlovan,Andrey Platonov,4.22,82
175,Chevengur,Andrey Platonov,5.78,43
176,Odin den Ivana Denisovicha,Aleksandr Solzhenitsyn,3.89,14
177,Arkhipelag GULAG,Aleksandr Solzhenitsyn,12.22,37
178,Rakovyy korpus,Aleksandr Solzhenitsyn,6.44,55
179,Moskva — Petushki,Venedikt Erofeev,4.00,20
180,Zapovednik,Sergey Dovlatov,4.11,58
181,Chemodan,Sergey Dovlatov,3.89,0
182,Solo na undervude,Sergey Dovlatov,3.56,92
183,1984,George Orwell,4.67,92
184,Skotnyy dvor,George Orwell,3.44,33
185,Brave New World,Aldous Huxley,4.78,64
186,451 gradus po Farengeytu,Ray Bradbury,4.56,97
187,Marsianskie khroniki,Ray Bradbury,4.89,22
188,Vino iz oduvanchikov,Ray Bradbury,4.67,64
189,The Catcher in the Rye,Dzh. D. Selindzher,4.33,13
190,Povelitel mukh,Uilyam Golding,4.44,80
191,To Kill a Mockingbird,Harper Lee,5.11,38
192,Zavodnoy apelsin,Entoni Byordzhess,4.56,81
193,Proletaya nad gnezdom kukushki,Ken Kizi,5.22,64
194,Boynya nomer pyat,Kurt Vonnegut,4.56,77
195,Kolybel dlya koshki,Kurt Vonnegut,4.44,25
196,One Hundred Years of Solitude,Gabriel Garcia Marquez,5.89,19
197,Lyubov vo vremya chumy,Gabriel Garcia Marquez,5.67,47
198,Khronika obyavlennoy smerti,Gabriel Garcia Marquez,3.78,97
199,Igra v klassiki,Khulio Kortasar,6.22,20
200,Vymysly,Khorkhe Luis Borkhes,4.67,69
201,Alef,Khorkhe Luis Borkhes,4.56,99
202,Pedofil (Lolita),Vladimir Nabokov,5.44,67
203,Zashchita Luzhina,Vladimir Nabokov,4.78,0
204,Priglashenie na kazn,Vladimir Nabokov,4.67,76
205,"Khobbit, ili Tuda i obratno",Dzh. R. R. Tolkin,5.00,41
206,Vlastelin kolets: Bratstvo Koltsa,Dzh. R. R. Tolkin,6.89,62
207,Vlastelin kolets: Dve kreposti,Dzh. R. R. Tolkin,6.89,2
208,Vlastelin kolets: Vozvrashchenie korolya,Dzh. R. R. Tolkin,7.22,14
209,Silmarillion,Dzh. R. R. Tolkin,6.44,46
210,"Khroniki Narnii: Lev, koldunya i platyanoy shkaf",K. S. Lyuis,4.33,39
211,Dyuna,Frenk Gerbert,7.56,30
212,Messiya Dyuny,Frenk Gerbert,5.78,7
213,Deti Dyuny,Frenk Gerbert,6.11,30
214,Osnovanie,Ayzek Azimov,5.33,72
215,"Ya, Robot",Ayzek Azimov,4.67,10
216,Solyaris,Stanislav Lem,4.78,10
217,Nepobedimyy,Stanislav Lem,4.56,93
218,Piknik na obochine,Arkadiy i Boris Strugatskie,4.67,62
219,Trudno byt bogom,Arkadiy i Boris Strugatskie,4.33,8
220,Ponedelnik nachinaetsya v subbotu,Arkadiy i Boris Strugatskie,4.56,97
221,Obitaemyy ostrov,Arkadiy i Boris Strugatskie,5.11,68
222,Avtostopom po galaktike,Duglas Adams,4.22,98
223,Neyromant,Uilyam Gibson,5.00,16
224,Mechtayut li androidy ob elektroovtsakh?,Filip K. Dik,4.67,16
225,Chelovek v vysokom zamke,Filip K. Dik,4.89,84
226,Garri Potter i filosofskiy kamen,Dzh. K. Rouling,6.11,60
227,Garri Potter i Taynaya komnata,Dzh. K. Rouling,6.22,70
228,Garri Potter i uznik Azkabana,Dzh. K. Rouling,6.44,21
229,Garri Potter i Kubok ognya,Dzh. K. Rouling,7.67,33
230,Garri Potter i Orden Feniksa,Dzh. K. Rouling,8.33,67
231,Garri Potter i Prints-polukrovka,Dzh. K. Rouling,7.89,77
232,Garri Potter i Dary Smerti,Dzh. K. Rouling,8.67,54
233,Igra prestolov,Dzhordzh R. R. Martin,8.00,27
234,Bitva koroley,Dzhordzh R. R. Martin,8.22,69
235,Burya mechey,Dzhordzh R. R. Martin,9.00,96
236,Pir stervyatnikov,Dzhordzh R. R. Martin,8.67,93
237,Tanets s drakonami,Dzhordzh R. R. Martin,9.44,88
238,Vedmak: Poslednee zhelanie,Andzhey Sapkovskiy,5.33,25
239,Vedmak: Mech Prednaznacheniya,Andzhey Sapkovskiy,5.44,91
240,Vedmak: Krov elfov,Andzhey Sapkovskiy,5.67,39
241,Kladbishche domashnikh zhivotnykh,Stiven King,5.78,51
242,Siyanie,Stiven King,6.11,85
243,Ono,Stiven King,9.89,83
244,Temnaya bashnya: Strelok,Stiven King,5.33,47
245,Zelenaya milya,Stiven King,5.67,56
246,11/22/63,Stiven King,8.78,66
247,Kod da Vinchi,Den Braun,5.44,57
248,Angely i demony,Den Braun,5.33,15
249,Inferno,Den Braun,5.78,31
250,Alkhimik,Paulo Koelo,4.22,28
251,Ten vetra,Karlos Ruis Safon,6.00,8
252,Tsvety dlya Eldzhernona,Deniel Kiz,5.00,43
253,Mnozhestvennye umy Billi Milligana,Deniel Kiz,5.67,2
254,Shantaram,Gregori Devid Roberts,8.67,75
255,"Esh, molis, lyubi",Elizabet Gilbert,4.89,70
256,Begushchiy za vetrom,Khaled Khosseyni,5.44,29
257,Tysyacha siyayushchikh solntsa,Khaled Khosseyni,5.67,75
258,Oblachnyy atlas,Devid Mitchell,6.22,28
259,Zadacha trekh tel,Lyu Tsysin,6.56,0
260,Tyomnyy les,Lyu Tsysin,6.89,9
261,Vechnaya zhizn Smerti,Lyu Tsysin,7.56,90
262,Klara i Solntse,Kadzuo Isiguro,5.78,80
263,Ne otpuskay menya,Kadzuo Isiguro,5.33,7
264,Ostatok dnya,Kadzuo Isiguro,5.22,29
265,Okhota na ovets,Kharuki Murakami,5.44,8
266,Norvezhskiy les,Kharuki Murakami,5.33,4
267,Kafka na plyazhe,Kharuki Murakami,6.11,42
268,1Q84,Kharuki Murakami,8.00,9
269,S.N.U.F.F.,Viktor Pelevin,5.67,65
270,Generation «P»,Viktor Pelevin,5.11,30
271,Chapaev i Pustota,Viktor Pelevin,5.33,35
272,Lavr,Evgeniy Vodolazkin,5.89,85
273,Aviator,Evgeniy Vodolazkin,5.67,62
274,Zuleykha otkryvaet glaza,Guzel Yakhina,5.78,27
275,Deti moi,Guzel Yakhina,6.00,69
276,Eshelon na Samarkand,Guzel Yakhina,6.11,16
277,The Bible [Myagkaya oblozhka],Holy Scripture,14.00,92
278,Epic of Gilgamesh [Myagkaya oblozhka],Unknown,5.25,73
279,Iliad [Myagkaya oblozhka],Homer,6.42,73
280,Odyssey [Myagkaya oblozhka],Homer,6.53,60
281,Mahabharata [Myagkaya oblozhka],Vyasa,17.50,31
282,Ramayana [Myagkaya oblozhka],Valmiki,9.92,100
283,Tao Te Ching [Myagkaya oblozhka],Laozi,4.43,60
284,The Art of War [Myagkaya oblozhka],Sun Tzu,4.08,52
285,The Republic [Myagkaya oblozhka],Plato,5.60,24
286,Poetics [Myagkaya oblozhka],Aristotle,4.90,12
287,Nicomachean Ethics [Myagkaya oblozhka],Aristotle,5.72,12
288,Aeneid [Myagkaya oblozhka],Virgil,5.95,84
289,Metamorphoses [Myagkaya oblozhka],Ovid,6.18,55
290,Meditations [Myagkaya oblozhka],Marcus Aurelius,4.55,45
291,Commentaries on the Gallic War [Myagkaya oblozhka],Julius Caesar,5.13,54
292,Annals [Myagkaya oblozhka],Tacitus,7.00,52
293,Confessions [Myagkaya oblozhka],Augustine of Hippo,5.48,59
294,The City of God [Myagkaya oblozhka],Augustine of Hippo,10.38,93
295,Shahnameh [Myagkaya oblozhka],Ferdowsi,12.83,6
296,Primary Chronicle [Myagkaya oblozhka],Nestor the Chronicler,6.07,86
297,Slovo o polku Igoreve [Myagkaya oblozhka],Unknown,3.50,83
298,The Divine Comedy [Myagkaya oblozhka],Dante Alighieri,8.75,82
299,Dekameron [Myagkaya oblozhka],Dzhovanni Bokkachcho,7.93,12
300,Kenterberiyskie rasskazy [Myagkaya oblozhka],Dzheffri Choser,7.23,7
301,Pokhvala gluposti [Myagkaya oblozhka],Erazm Rotterdamskiy,4.78,51
302,Gosudar [Myagkaya oblozhka],Nikkolo Makiavelli,4.43,93
303,Utopiya [Myagkaya oblozhka],Tomas Mor,4.20,43
304,Gargantyua i Pantagryuel [Myagkaya oblozhka],Fransua Rable,9.22,13
305,Opyty [Myagkaya oblozhka],Mishel de Monten,9.92,31
306,Don Kikhot [Myagkaya oblozhka],Migel de Servantes,10.38,24
307,Hamlet [Myagkaya oblozhka],William Shakespeare,4.08,24
308,Romeo i Dzhuletta [Myagkaya oblozhka],William Shakespeare,3.73,68
309,Makbet [Myagkaya oblozhka],William Shakespeare,3.85,57
310,Korol Lir [Myagkaya oblozhka],William Shakespeare,3.97,17
311,Otello [Myagkaya oblozhka],William Shakespeare,3.85,54
312,Sonety [Myagkaya oblozhka],William Shakespeare,3.38,23
313,Poteryannyy ray [Myagkaya oblozhka],Dzhon Milton,6.77,35
314,Zhizn est son [Myagkaya oblozhka],Pedro Kalderon,4.32,59
315,Tartyuf [Myagkaya oblozhka],Moler,3.62,31
316,Meshchanin vo dvoryanstve [Myagkaya oblozhka],Moler,3.50,9
317,Mysli [Myagkaya oblozhka],Blez Paskal,5.37,56
318,Priklyucheniya Robinzona Kruzo [Myagkaya oblozhka],Daniel Defo,5.25,70
319,Puteshestviya Gullivera [Myagkaya oblozhka],Dzhonatan Svift,5.60,12
320,"Zadig, ili Sudba [Myagkaya oblozhka]",Volter,4.08,6
321,"Kandid, ili Optimizm [Myagkaya oblozhka]",Volter,3.97,83
322,Obshchestvennyy dogovor [Myagkaya oblozhka],Zhan-Zhak Russo,4.90,69
323,Confessions [Myagkaya oblozhka],Zhan-Zhak Russo,6.42,1
324,Issledovanie o prirode i prichinakh bogatstva narodov [Myagkaya oblozhka],Adam Smit,11.43,11
325,Kritika chistogo razuma [Myagkaya oblozhka],Immanuil Kant,10.73,96
326,Stradaniya molodogo Vertera [Myagkaya oblozhka],Iogann Volfgang fon Gyote,4.43,30
327,Faust [Myagkaya oblozhka],Iogann Volfgang fon Gyote,7.58,21
328,Razboyniki [Myagkaya oblozhka],Fridrikh Shiller,4.20,52
329,Puteshestvie iz Peterburga v Moskvu [Myagkaya oblozhka],Aleksandr Radishchev,4.55,62
330,Eugene Onegin [Myagkaya oblozhka],Alexander Pushkin,4.67,61
331,Kapitanskaya dochka [Myagkaya oblozhka],Alexander Pushkin,4.08,27
332,Pikovaya dama [Myagkaya oblozhka],Alexander Pushkin,3.27,51
333,Mednyy vsadnik [Myagkaya oblozhka],Alexander Pushkin,2.92,7
334,Boris Godunov [Myagkaya oblozhka],Alexander Pushkin,3.73,21
335,Geroy nashego vremeni [Myagkaya oblozhka],Mikhail Lermontov,4.43,48
336,Mtsyri [Myagkaya oblozhka],Mikhail Lermontov,3.15,0
337,Demon [Myagkaya oblozhka],Mikhail Lermontov,3.03,49
338,Revizor [Myagkaya oblozhka],Nikolai Gogol,4.08,33
339,Dead Souls [Myagkaya oblozhka],Nikolai Gogol,5.60,100
340,Shinel [Myagkaya oblozhka],Nikolai Gogol,3.38,100
341,Taras Bulba [Myagkaya oblozhka],Nikolai Gogol,3.97,58
342,Fathers and Sons [Myagkaya oblozhka],Ivan Turgenev,4.90,36
343,Zapiski okhotnika [Myagkaya oblozhka],Ivan Turgenev,5.25,54
344,Dvoryanskoe gnezdo [Myagkaya oblozhka],Ivan Turgenev,4.55,89
345,Oblomov [Myagkaya oblozhka],Ivan Goncharov,6.07,93
346,Crime and Punishment [Myagkaya oblozhka],Fyodor Dostoevsky,6.77,100
347,Idiot [Myagkaya oblozhka],Fyodor Dostoevsky,7.23,71
348,Bratya Karamazovy [Myagkaya oblozhka],Fyodor Dostoevsky,8.75,84
349,Besy [Myagkaya oblozhka],Fyodor Dostoevsky,7.93,91
350,Zapiski iz podpolya [Myagkaya oblozhka],Fyodor Dostoevsky,4.43,62
351,Igrok [Myagkaya oblozhka],Fyodor Dostoevsky,4.20,19
352,War and Peace [Myagkaya oblozhka],Leo Tolstoy,14.00,24
353,Anna Karenina [Myagkaya oblozhka],Leo Tolstoy,9.10,37
354,Voskresenie [Myagkaya oblozhka],Leo Tolstoy,6.42,27
355,Smert Ivana Ilicha [Myagkaya oblozhka],Leo Tolstoy,3.62,7
356,Kreytserova sonata [Myagkaya oblozhka],Leo Tolstoy,3.73,74
357,Groza [Myagkaya oblozhka],Aleksandr Ostrovskiy,3.73,94
358,Bespridannitsa [Myagkaya oblozhka],Aleksandr Ostrovskiy,3.85,69
359,Levsha [Myagkaya oblozhka],Nikolay Leskov,3.38,7
360,Ocharovannyy strannik [Myagkaya oblozhka],Nikolay Leskov,3.97,95
361,Komu na Rusi zhit khorosho [Myagkaya oblozhka],Nikolay Nekrasov,4.43,40
362,Palata № 6 [Myagkaya oblozhka],Anton Chekhov,3.62,7
363,Vishnevyy sad [Myagkaya oblozhka],Anton Chekhov,3.85,6
364,Chayka [Myagkaya oblozhka],Anton Chekhov,3.73,74
365,Dyadya Vanya [Myagkaya oblozhka],Anton Chekhov,3.62,61
366,Tri sestry [Myagkaya oblozhka],Anton Chekhov,3.73,64
367,Dama s sobachkoy [Myagkaya oblozhka],Anton Chekhov,3.38,67
368,Pride and Prejudice [Myagkaya oblozhka],Jane Austen,5.25,20
369,Razum i chuvstva [Myagkaya oblozhka],Jane Austen,5.13,7
370,Frankenshteyn [Myagkaya oblozhka],Meri Shelli,4.90,65
371,"Frankenshteyn, ili Sovremennyy Prometey [Myagkaya oblozhka]",Meri Shelli,5.02,10
372,Ayvengo [Myagkaya oblozhka],Valter Skott,5.72,23
373,Krasnoe i chernoe [Myagkaya oblozhka],Stendal,6.53,8
374,Parmskaya obitel [Myagkaya oblozhka],Stendal,6.77,76
375,Otets Gorio [Myagkaya oblozhka],Onore de Balzak,5.60,8
376,Evgeniya Grande [Myagkaya oblozhka],Onore de Balzak,5.25,86
377,The Count of Monte Cristo [Myagkaya oblozhka],Alexandre Dumas,10.38,30
378,Tri mushketera [Myagkaya oblozhka],Alexandre Dumas,7.58,51
379,Dvadtsat let spustya [Myagkaya oblozhka],Alexandre Dumas,7.82,15
380,Sobor Parizhskoy Bogomateri [Myagkaya oblozhka],Victor Hugo,6.77,72
381,Les Miserables [Myagkaya oblozhka],Victor Hugo,11.08,31
382,"Chelovek, kotoryy smeetsya [Myagkaya oblozhka]",Victor Hugo,6.88,74
383,Dzheyn Eyr [Myagkaya oblozhka],Sharlotta Bronte,5.60,76
384,Grozovoy pereval [Myagkaya oblozhka],Emili Bronte,5.48,5
385,Yarmarka tshcheslaviya [Myagkaya oblozhka],Uilyam Tekkerey,8.05,79
386,Oliver Twist [Myagkaya oblozhka],Charles Dickens,5.72,10
387,David Kopperfild [Myagkaya oblozhka],Charles Dickens,7.93,53
388,Povest o dvukh gorodakh [Myagkaya oblozhka],Charles Dickens,5.95,84
389,Bolshie nadezhdy [Myagkaya oblozhka],Charles Dickens,6.07,74
390,Rozhdestvenskaya pesnya [Myagkaya oblozhka],Charles Dickens,3.73,72
391,Moby-Dick [Myagkaya oblozhka],Herman Melville,7.12,66
392,Madam Bovari [Myagkaya oblozhka],Gyustav Flober,5.72,40
393,Prestuplenie abbata Mure [Myagkaya oblozhka],Emil Zolya,5.37,33
394,Zherminal [Myagkaya oblozhka],Emil Zolya,6.18,26
395,Zapadnya [Myagkaya oblozhka],Emil Zolya,5.95,85
396,The Picture of Dorian Gray [Myagkaya oblozhka],Oscar Wilde,4.90,91
397,Kak vazhno byt sereznym [Myagkaya oblozhka],Oscar Wilde,3.62,40
398,The Adventures of Tom Sawyer [Myagkaya oblozhka],Mark Twain,4.55,30
399,Priklyucheniya Geklberri Finna [Myagkaya oblozhka],Mark Twain,4.78,33
400,Yanki iz Konnektikuta pri dvore korolya Artura [Myagkaya oblozhka],Mark Twain,5.02,50
401,Drakula [Myagkaya oblozhka],Brem Stoker,5.60,16
402,Mashina vremeni [Myagkaya oblozhka],Gerbert Uells,4.20,85
403,Chelovek-nevidimka [Myagkaya oblozhka],Gerbert Uells,4.32,82
404,Voyna mirov [Myagkaya oblozhka],Gerbert Uells,4.55,38
405,Etyud v bagrovykh tonakh [Myagkaya oblozhka],Arthur Conan Doyle,4.08,58
406,Sobaka Baskerviley [Myagkaya oblozhka],Arthur Conan Doyle,4.43,40
407,The Adventures of Sherlock Holmes [Myagkaya oblozhka],Arthur Conan Doyle,5.72,96
408,Martin Iden [Myagkaya oblozhka],Dzhek London,5.60,9
409,Zov predkov [Myagkaya oblozhka],Dzhek London,3.97,1
410,Belyy Klyk [Myagkaya oblozhka],Dzhek London,4.20,58
411,Uliss [Myagkaya oblozhka],Dzheyms Dzhoys,9.92,79
412,Dublintsy [Myagkaya oblozhka],Dzheyms Dzhoys,4.78,72
413,Portret khudozhnika v yunosti [Myagkaya oblozhka],Dzheyms Dzhoys,5.37,12
414,Protsess [Myagkaya oblozhka],Franz Kafka,5.02,9
415,Zamok [Myagkaya oblozhka],Franz Kafka,5.25,68
416,The Metamorphosis [Myagkaya oblozhka],Franz Kafka,3.73,27
417,V poiskakh utrachennogo vremeni [Myagkaya oblozhka],Marsel Prust,16.33,64
418,Volshebnaya gora [Myagkaya oblozhka],Tomas Mann,9.10,33
419,Buddenbroki [Myagkaya oblozhka],Tomas Mann,8.40,16
420,Smert v Venetsii [Myagkaya oblozhka],Tomas Mann,3.85,44
421,Stepnoy volk [Myagkaya oblozhka],German Gesse,5.13,8
422,Igra v biser [Myagkaya oblozhka],German Gesse,6.88,31
423,Siddkhartkha [Myagkaya oblozhka],German Gesse,4.08,47
424,The Great Gatsby [Myagkaya oblozhka],Frensis Skott Fitsdzherald,4.78,36
425,Noch nezhna [Myagkaya oblozhka],Frensis Skott Fitsdzherald,5.37,20
426,"Proshchay, oruzhie! [Myagkaya oblozhka]",Ernest Hemingway,5.13,56
427,Po komu zvonit kolokol [Myagkaya oblozhka],Ernest Hemingway,6.30,69
428,Starik i more [Myagkaya oblozhka],Ernest Hemingway,4.08,90
429,A Moveable Feast [Myagkaya oblozhka],Ernest Hemingway,4.78,38
430,The Sound and the Fury [Myagkaya oblozhka],William Faulkner,5.72,78
431,As I Lay Dying [Myagkaya oblozhka],William Faulkner,5.02,83
432,On the Road [Myagkaya oblozhka],John Steinbeck,4.90,67
433,The Grapes of Wrath [Myagkaya oblozhka],John Steinbeck,6.77,1
434,Of Mice and Men [Myagkaya oblozhka],John Steinbeck,3.85,85
435,All Quiet on the Western Front [Myagkaya oblozhka],Erich Maria Remarque,5.25,70
